,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 88 194 , 61 498 , - , - ,23,18, - ,, - , - , - , 88 217 , 61 516 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,117,86, - , - , - , - , - ,, - , - , - ,117,86
"機動三輪車
Motor Tricycles",,,,892,818, - , - , - , - , - ,, - , - , - ,892,818
"私家車
Private Cars",,,, 611 485 , 546 698 , 11 973 , 11 277 , 14 895 , 14 568 , - ,, - ,99,72, 638 452 , 572 615 
"的士 (市區)
Taxis (Urban)",,,,3,3, - , - , - , - , 15 247 ,, 15 175 , - , - , 15 250 , 15 178 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 825 , - , - , 2 838 , 2 825 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,75,,75, - , - ,75,75
"九巴
KMB",,,單層  SD, - , - ,125,124,18,14, - , - , - , - , - ,143,138
,,,雙層  DD, - , - , 3 985 , 3 884 , - , - , - , - , - , - , - , 3 985 , 3 884 
"城巴
Citybus",,,單層  SD, - , - ,28,28,6,5, - , - , - , - , - ,34,33
,,,雙層  DD, - , - , 1 024 ,987, - , - , - , - , - , - , - , 1 024 ,987
"新巴
NWFB",,,單層  SD, - , - ,13,13,4,4, - , - , - , - , - ,17,17
,,,雙層  DD, - , - ,683,667, - , - , - , - , - , - , - ,683,667
"龍運
LWB",,,單層  SD, - , - , - , - ,4,4, - , - , - , - , - ,4,4
,,,雙層  DD, - , - ,275,273, - , - , - , - , - , - , - ,275,273
"新大嶼山巴士
NLB",,,單層  SD, - , - ,91,90,2,2, - , - , - , - , - ,93,92
,,,雙層  DD, - , - ,58,58, - , - , - , - , - , - , - ,58,58
"港鐵巴士 (西鐵線/輕鐵)
MTR Buses (for West Rail Line/Light Rail)",,,單層  SD, - , - ,11,11, - , - , - , - , - , - , - ,11,11
,,,雙層  DD, - , - ,133,132, - , - , - , - , - , - , - ,133,132
"其他非專營公共巴士
Other Non-franchised Public Buses",,,單層  SD, - , - , 6 908 , 6 680 ,6,5, - , - , - , - , - , 6 914 , 6 685 
,,,雙層  DD, - , - ,173,173, - , - , - , - , - , - , - ,173,173
"私家巴士
Private Buses",,,單層  SD, - , - ,716,709,2,2, - , - , - , - , - ,718,711
,,,雙層  DD, - , - ,25,23, - , - , - , - , - , - , - ,25,23
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 4.4,,(續)      ,,,,,,,,,,,,,,
Table 4.4,,(cont'd)      ,,,,,,,,,,,,,,2020/07
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"公共小型巴士
Public Light Buses",,,, - , - ,784,778, - , - , 3 566 , - , 3 519 , - , - , 4 350 , 4 297 
"私家小型巴士
Private Light Buses",,,, - , - , 2 387 , 2 360 ,6,6, 1 137 , - , 1 132 , - , - , 3 530 , 3 498 
"輕型貨車
Light Goods Vehicles",,,,657,490, 74 962 , 73 145 ,144,135, - , - , - , - , - , 75 763 , 73 770 
"中型貨車
Medium Goods Vehicles",,,, - , - , 36 668 , 35 776 ,1,1, - , - , - , - , - , 36 669 , 35 777 
"重型貨車
Heavy Goods Vehicles",,,, - , - , 6 742 , 6 513 , - , - , - , - , - , - , - , 6 742 , 6 513 
"特別用途車輛
Special Purpose Vehicles",,,,63,47, 1 703 , 1 558 ,109,90,191, - ,156,2,2, 2 068 , 1 853 
"總計 (2)
Total (2)",,,, 701 411 , 609 640 , 149 467 , 145 259 , 15 220 , 14 854 , 23 054 ,, 22 882 ,101,74, 889 253 , 792 709 
,,,,,,,,,,,,,,,,
註 :,,  月底數字,,,,,,,Notes :,,Figures as at end of the month.,,,,,
,,(1)   包括各種其發動機為「渦輪引擎」、「燃油電池車」,,,,,,,,-1,"Including various vehicles with power plants such as turbine engines, fuel cell vehicles, etc. of which fuel types cannot be further classified.",,,,,
,,        等的車輛，它們的燃料種類不能進一步被劃分。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,(2)   不包括政府車輛。,,,,,,,,-2,Excluding government vehicles.,,,,,
,,SD -  單層,,,,,,,,SD,#NAME?,,,,,
,,DD -  雙層,,,,,,,,DD,#NAME?,,,,,
,,,,,,,,,,,,,,,,
資料來源 : ,,  牌照電腦計劃及牌照事務部,,,,,,,Source : ,,VALID & Licensing Division ,,,,,
