YR_MTH,LOCATION,gov_UTL_RATE
201301,Aberdeen,64.4518272425249
201301,City Hall,15.1515151515152
201301,Kennedy Town,90.25641025641029
201301,Kwai Fong,27.224199288256198
201301,Middle Road,31.9745222929936
201301,Murray Road,34.704370179948604
201301,Rumsey Street,44.5255474452555
201301,Shau Kei Wan,67.4540682414698
201301,Sheung Fung Street,67.89667896678971
201301,Star Ferry,38.6486486486486
201301,Tin Hau,60.7981220657277
201301,Tsuen Wan,42.122719734659995
201301,Tsuen Wan Transport Complex,20.308483290488397
201301,Yau Ma Tei,31.347150259067398
201302,Aberdeen,64.4518272425249
201302,City Hall,13.333333333333302
201302,Kennedy Town,90.25641025641029
201302,Kwai Fong,27.5800711743772
201302,Middle Road,28.9171974522293
201302,Murray Road,32.3907455012853
201302,Rumsey Street,51.5815085158151
201302,Shau Kei Wan,70.0787401574803
201302,Sheung Fung Street,71.9557195571956
201302,Star Ferry,35.405405405405396
201302,Tin Hau,62.4413145539906
201302,Tsuen Wan,45.6053067993366
201302,Yau Ma Tei,29.533678756476696
201303,Aberdeen,65.78073089701
201303,City Hall,13.939393939393899
201303,Kennedy Town,90.25641025641029
201303,Kwai Fong,28.8256227758007
201303,Middle Road,31.337579617834397
201303,Murray Road,34.704370179948604
201303,Rumsey Street,49.7566909975669
201303,Shau Kei Wan,71.6535433070866
201303,Sheung Fung Street,69.7416974169742
201303,Star Ferry,38.3783783783784
201303,Tin Hau,60.5633802816901
201303,Tsuen Wan,47.9270315091211
201303,Yau Ma Tei,30.699481865285
201304,Aberdeen,67.7740863787375
201304,City Hall,15.1515151515152
201304,Kennedy Town,90.7692307692308
201304,Kwai Fong,30.071174377224196
201304,Middle Road,31.2101910828025
201304,Murray Road,34.9614395886889
201304,Rumsey Street,49.5133819951338
201304,Shau Kei Wan,73.753280839895
201304,Sheung Fung Street,70.479704797048
201304,Star Ferry,37.5675675675676
201304,Tin Hau,57.746478873239404
201304,Tsuen Wan,47.7611940298507
201304,Yau Ma Tei,31.4766839378238
201305,Aberdeen,68.1063122923588
201305,City Hall,16.969696969697
201305,Kennedy Town,90.7692307692308
201305,Kwai Fong,32.0284697508897
201305,Middle Road,34.0127388535032
201305,Murray Road,35.989717223650395
201305,Rumsey Street,51.459854014598506
201305,Shau Kei Wan,75.06561679790029
201305,Sheung Fung Street,71.2177121771218
201305,Star Ferry,40.0
201305,Tin Hau,57.042253521126796
201305,Tsuen Wan,45.771144278607
201305,Yau Ma Tei,33.419689119171
201306,Aberdeen,69.7674418604651
201306,City Hall,15.7575757575758
201306,Kennedy Town,90.25641025641029
201306,Kwai Fong,33.8078291814947
201306,Middle Road,33.8853503184713
201306,Murray Road,36.2467866323907
201306,Rumsey Street,50.121654501216604
201306,Shau Kei Wan,75.59055118110241
201306,Sheung Fung Street,72.3247232472325
201306,Star Ferry,40.5405405405405
201306,Tin Hau,56.1032863849765
201306,Tsuen Wan,47.7611940298507
201306,Yau Ma Tei,34.9740932642487
201307,Aberdeen,70.0996677740864
201307,City Hall,14.5454545454545
201307,Kennedy Town,89.74358974358981
201307,Kwai Fong,33.9857651245552
201307,Middle Road,34.0127388535032
201307,Murray Road,34.704370179948604
201307,Rumsey Street,50.121654501216604
201307,Shau Kei Wan,75.59055118110241
201307,Sheung Fung Street,70.1107011070111
201307,Star Ferry,37.2972972972973
201307,Tin Hau,57.2769953051643
201307,Tsuen Wan,57.877280265340005
201307,Yau Ma Tei,41.3212435233161
201308,Aberdeen,72.4252491694352
201308,City Hall,15.7575757575758
201308,Kennedy Town,88.7179487179487
201308,Kwai Fong,36.8327402135231
201308,Middle Road,34.7770700636943
201308,Murray Road,35.218508997429296
201308,Rumsey Street,53.163017031630204
201308,Shau Kei Wan,75.3280839895013
201308,Sheung Fung Street,72.6937269372694
201308,Star Ferry,38.3783783783784
201308,Tin Hau,61.0328638497653
201308,Tsuen Wan,61.028192371476
201308,Yau Ma Tei,43.0051813471503
201309,Aberdeen,80.0664451827243
201309,City Hall,15.7575757575758
201309,Kennedy Town,89.2307692307692
201309,Kwai Fong,39.3238434163701
201309,Middle Road,34.3949044585987
201309,Murray Road,35.989717223650395
201309,Rumsey Street,53.527980535279795
201309,Shau Kei Wan,76.64041994750659
201309,Sheung Fung Street,73.8805970149254
201309,Star Ferry,38.9189189189189
201309,Tin Hau,62.4413145539906
201309,Tsuen Wan,62.852404643449404
201309,Yau Ma Tei,43.393782383419705
201310,Aberdeen,81.063122923588
201310,City Hall,15.7575757575758
201310,Kennedy Town,89.2307692307692
201310,Kwai Fong,41.6370106761566
201310,Middle Road,34.140127388535
201310,Murray Road,36.5038560411311
201310,Rumsey Street,51.459854014598506
201310,Shau Kei Wan,76.64041994750659
201310,Sheung Fung Street,73.5074626865672
201310,Star Ferry,40.81081081081079
201310,Tin Hau,62.91079812206571
201310,Tsuen Wan,61.8573797678275
201310,Yau Ma Tei,45.3367875647668
201311,Aberdeen,83.05647840531559
201311,City Hall,16.969696969697
201311,Kennedy Town,87.17948717948721
201311,Kwai Fong,44.1281138790036
201311,Middle Road,35.9235668789809
201311,Murray Road,38.0462724935733
201311,Rumsey Street,50.973236009732396
201311,Shau Kei Wan,77.16535433070871
201311,Sheung Fung Street,74.25373134328359
201311,Star Ferry,42.7027027027027
201311,Tin Hau,65.2582159624413
201311,Tsuen Wan,63.5157545605307
201311,Yau Ma Tei,47.4093264248705
201312,Aberdeen,78.4053156146179
201312,City Hall,15.1515151515152
201312,Kennedy Town,71.2820512820513
201312,Kwai Fong,46.975088967971494
201312,Middle Road,34.7770700636943
201312,Murray Road,38.4020618556701
201312,Rumsey Street,52.0681265206813
201312,Shau Kei Wan,76.37795275590551
201312,Sheung Fung Street,74.6268656716418
201312,Star Ferry,40.5405405405405
201312,Tin Hau,70.8920187793427
201312,Tsuen Wan,65.0082918739635
