"YR_MTH","LOCATION","OPEN_DATE","CAP","NO_VEHICLE","UTL_RATE"
"201301","Yau Ma Tei",1957-10-12,772,31487,31.3471502590674
"201301","Star Ferry",1957-12-02,370,25521,38.6486486486486
"201301","City Hall",1959-11-12,165,4401,15.1515151515152
"201301","Middle Road",1965-01-11,785,41303,31.9745222929936
"201301","Rumsey Street",1970-06-01,822,29697,44.5255474452555
"201301","Murray Road",1973-07-30,389,17393,34.7043701799486
"201301","Aberdeen",1981-07-02,301,7000,64.4518272425249
"201301","Kwai Fong",1983-05-10,562,4964,27.2241992882562
"201301","Tsuen Wan",1983-07-18,603,17576,42.12271973466
"201301","Tsuen Wan Transport Complex",1986-04-01,778,6337,20.3084832904884
"201301","Shau Kei Wan",1988-04-01,381,13213,67.4540682414698
"201301","Tin Hau",1989-08-01,426,16180,60.7981220657277
"201301","Sheung Fung Street",1989-09-01,271,9560,67.8966789667897
"201301","Kennedy Town",2007-01-15,195,7458,90.2564102564103
"201302","Yau Ma Tei",1957-10-12,772,25995,29.5336787564767
"201302","Star Ferry",1957-12-02,370,21215,35.4054054054054
"201302","City Hall",1959-11-12,165,3590,13.3333333333333
"201302","Middle Road",1965-01-11,785,33962,28.9171974522293
"201302","Rumsey Street",1970-06-01,822,26859,51.5815085158151
"201302","Murray Road",1973-07-30,389,13896,32.3907455012853
"201302","Aberdeen",1981-07-02,301,6389,64.4518272425249
"201302","Kwai Fong",1983-05-10,562,4652,27.5800711743772
"201302","Tsuen Wan",1983-07-18,603,17453,45.6053067993366
"201302","Shau Kei Wan",1988-04-01,381,12217,70.0787401574803
"201302","Tin Hau",1989-08-01,426,16839,62.4413145539906
"201302","Sheung Fung Street",1989-09-01,271,8650,71.9557195571956
"201302","Kennedy Town",2007-01-15,195,6204,90.2564102564103
"201303","Yau Ma Tei",1957-10-12,772,29982,30.699481865285
"201303","Star Ferry",1957-12-02,370,25684,38.3783783783784
"201303","City Hall",1959-11-12,165,4555,13.9393939393939
"201303","Middle Road",1965-01-11,785,41595,31.3375796178344
"201303","Rumsey Street",1970-06-01,822,30273,49.7566909975669
"201303","Murray Road",1973-07-30,389,17610,34.7043701799486
"201303","Aberdeen",1981-07-02,301,7209,65.78073089701
"201303","Kwai Fong",1983-05-10,562,5351,28.8256227758007
"201303","Tsuen Wan",1983-07-18,603,18986,47.9270315091211
"201303","Shau Kei Wan",1988-04-01,381,13677,71.6535433070866
"201303","Tin Hau",1989-08-01,426,15583,60.5633802816901
"201303","Sheung Fung Street",1989-09-01,271,9615,69.7416974169742
"201303","Kennedy Town",2007-01-15,195,6967,90.2564102564103
"201304","Yau Ma Tei",1957-10-12,772,28551,31.4766839378238
"201304","Star Ferry",1957-12-02,370,24042,37.5675675675676
"201304","City Hall",1959-11-12,165,4361,15.1515151515152
"201304","Middle Road",1965-01-11,785,39182,31.2101910828025
"201304","Rumsey Street",1970-06-01,822,29717,49.5133819951338
"201304","Murray Road",1973-07-30,389,17138,34.9614395886889
"201304","Aberdeen",1981-07-02,301,7315,67.7740863787375
"201304","Kwai Fong",1983-05-10,562,5291,30.0711743772242
"201304","Tsuen Wan",1983-07-18,603,17905,47.7611940298507
"201304","Shau Kei Wan",1988-04-01,381,13711,73.753280839895
"201304","Tin Hau",1989-08-01,426,12305,57.7464788732394
"201304","Sheung Fung Street",1989-09-01,271,9544,70.479704797048
"201304","Kennedy Town",2007-01-15,195,6224,90.7692307692308
"201305","Sheung Fung Street",1989-09-01,271,9811,71.2177121771218
"201305","Kennedy Town",2007-01-15,195,6176,90.7692307692308
"201305","Yau Ma Tei",1957-10-12,772,31541,33.419689119171
"201305","Star Ferry",1957-12-02,370,25993,40
"201305","City Hall",1959-11-12,165,4718,16.969696969697
"201305","Middle Road",1965-01-11,785,44326,34.0127388535032
"201305","Rumsey Street",1970-06-01,822,31525,51.4598540145985
"201305","Murray Road",1973-07-30,389,17802,35.9897172236504
"201305","Aberdeen",1981-07-02,301,7457,68.1063122923588
"201305","Kwai Fong",1983-05-10,562,5795,32.0284697508897
"201305","Tsuen Wan",1983-07-18,603,19412,45.771144278607
"201305","Shau Kei Wan",1988-04-01,381,13743,75.0656167979003
"201305","Tin Hau",1989-08-01,426,13792,57.0422535211268
"201306","Yau Ma Tei",1957-10-12,772,30644,34.9740932642487
"201306","Star Ferry",1957-12-02,370,24777,40.5405405405405
"201306","City Hall",1959-11-12,165,4776,15.7575757575758
"201306","Middle Road",1965-01-11,785,42696,33.8853503184713
"201306","Rumsey Street",1970-06-01,822,30416,50.1216545012166
"201306","Murray Road",1973-07-30,389,16953,36.2467866323907
"201306","Aberdeen",1981-07-02,301,7280,69.7674418604651
"201306","Kwai Fong",1983-05-10,562,6123,33.8078291814947
"201306","Tsuen Wan",1983-07-18,603,19931,47.7611940298507
"201306","Shau Kei Wan",1988-04-01,381,13727,75.5905511811024
"201306","Tin Hau",1989-08-01,426,13077,56.1032863849765
"201306","Sheung Fung Street",1989-09-01,271,9959,72.3247232472325
"201306","Kennedy Town",2007-01-15,195,6499,90.2564102564103
"201307","Murray Road",1973-07-30,389,16971,34.7043701799486
"201307","Rumsey Street",1970-06-01,822,31887,50.1216545012166
"201307","Middle Road",1965-01-11,785,42575,34.0127388535032
"201307","City Hall",1959-11-12,165,4296,14.5454545454545
"201307","Star Ferry",1957-12-02,370,23477,37.2972972972973
"201307","Yau Ma Tei",1957-10-12,772,33892,41.3212435233161
"201307","Kennedy Town",2007-01-15,195,6709,89.7435897435898
"201307","Kwai Fong",1983-05-10,562,6344,33.9857651245552
"201307","Tsuen Wan",1983-07-18,603,19832,57.87728026534
"201307","Shau Kei Wan",1988-04-01,381,13463,75.5905511811024
"201307","Tin Hau",1989-08-01,426,12708,57.2769953051643
