YR_MTH,REGION,pub_UTL_RATE
201801,HK,37.1799650428979
201801,KLN,43.0877282798105
201801,NT,38.393511579303606
201802,HK,37.9589642536971
201802,KLN,41.9329913052526
201802,NT,39.2742873637331
201803,HK,40.173949989082296
201803,KLN,43.5181391793054
201803,NT,40.7422977678416
201804,HK,40.6296690841329
201804,KLN,43.1572863518444
201804,NT,40.8083621203837
201805,HK,42.4728166338486
201805,KLN,43.2569448658051
201805,NT,40.3376204859334
201806,HK,39.4502891736305
201806,KLN,43.3171186443316
201806,NT,39.6418006574068
201807,HK,39.068907656707204
201807,KLN,42.7589934640461
201807,NT,39.948182427007495
201808,HK,38.445849381101205
201808,KLN,42.2435009365917
201808,NT,39.5112682198378
201809,HK,37.4492750417229
201809,KLN,41.6024274003206
201809,NT,38.4912439765611
201810,HK,39.3663492444525
201810,KLN,43.36439844893229
201810,NT,40.5781581454425
201811,HK,38.9805382256085
201811,KLN,43.838812431941996
201811,NT,40.4750203034796
201812,HK,38.419085147625395
201812,KLN,43.461238550776905
201812,NT,41.083944560605104
201901,HK,39.0533526892682
201901,KLN,44.6400196359424
201901,NT,41.047917319239396
201902,HK,39.349973588836896
201902,KLN,43.909367978957704
201902,NT,40.8209469889265
201903,HK,39.902815425819604
201903,KLN,44.789733568476
201903,NT,40.9122327490742
201904,HK,40.3757607028929
201904,KLN,45.117890836324996
201904,NT,40.6102892485274
201905,HK,39.8980011529319
201905,KLN,44.74118960844171
201905,NT,40.666220744561
201906,HK,37.2612225405922
201906,KLN,42.720254602172204
201906,NT,40.3070968070493
201907,HK,34.6694155634695
201907,KLN,38.835462489841206
201907,NT,37.3525612972068
201908,HK,32.0206605898834
201908,KLN,34.3964287473492
201908,NT,33.8976794787479
201909,HK,32.0342162357621
201909,KLN,32.6426319605293
201909,NT,32.2331782163607
201910,HK,28.330866350892897
201910,KLN,26.7691573136593
201910,NT,26.9760487112368
201911,HK,26.2135417341295
201911,KLN,21.907939422698604
201911,NT,22.831004443325
201912,HK,26.264125190452
201912,KLN,23.949576107596197
201912,NT,23.650580088077604
202001,HK,25.7672360975672
202001,KLN,23.4459615364155
202001,NT,22.887387527941698
202002,HK,25.479986889609197
202002,KLN,20.362582274342998
202002,NT,22.272729246928
202003,HK,31.420037691365103
202003,KLN,25.8753552813207
202003,NT,29.0033455151914
202004,HK,35.5703638831502
202004,KLN,28.870197287555104
202004,NT,31.8280014660816
202005,HK,36.400611836134296
202005,KLN,30.7863086961729
202005,NT,32.7605426604557
202006,HK,33.773773290175
202006,KLN,30.792143357459697
202006,NT,31.3876436024407
202007,HK,34.3858250808011
202007,KLN,30.7979986660778
202007,NT,31.0991306563594
202008,HK,32.6783557612488
202008,KLN,29.760214001519397
202008,NT,30.151252789179395
202009,HK,34.012028537729805
202009,KLN,30.6325141261437
202009,NT,31.078170333666
202010,HK,36.055434344843796
202010,KLN,31.4358551187048
202010,NT,33.1554178412506
202011,HK,39.6513919953008
202011,KLN,34.564798172695305
202011,NT,35.492287864082705
202012,HK,40.2243271720436
202012,KLN,34.5659794116498
202012,NT,35.6016030260216
