District,Government,Other,Sub-total,latitude,longitude
Central & Western,191,73,264,22.273,114.1499
Eastern ,75,116,191,22.2734,114.2361
Southern,0,55,55,22.2432,114.1974
Wan Chai,83,138,221,22.276,114.1751
Kowloon City,83,31,114,22.3186,114.1796
Kwun Tong,41,786,827,22.3104,114.2227
Sham Shui Po,66,166,232,22.3286,114.1603
Wong Tai Sin,40,44,84,22.343,114.193
Yau Tsim Mong,0,256,256,22.3116,114.1707
Kwai Tsing,8,67,75,22.3549,114.1261
Tsuen Wan,178,59,237,22.3699,114.1144
Sai Kung,33,76,109,22.3837,114.2708
North,73,40,113,22.5009,114.1558
Tai Po,28,11,39,22.4423,114.1655
Sha Tin,76,113,189,22.3771,114.1974
Yuen Long,21,86,107,22.4445,114.0222
Tuen Mun,2,49,51,22.3908,113.9725
Islands,121,66,187,22.2628,113.9655
