Year,Month,Domestic,Commercial,Industrial,Street lighting,Exports to the mainland of China,All groups
1970,Jan,236,419,526,6,,1186
1970,Feb,235,374,393,6,,1008
1970,Mar,214,370,471,6,,1061
1970,Apr,235,429,570,6,,1240
1970,May,235,477,577,6,,1295
1970,Jun,302,576,551,6,,1435
1970,Jul,367,659,604,6,,1635
1970,Aug,365,618,565,6,,1553
1970,Sep,357,637,600,6,,1600
1970,Oct,303,559,603,6,,1472
1970,Nov,250,469,549,6,,1274
1970,Dec,241,437,581,6,,1266
1971,Jan,256,405,471,7,,1139
1971,Feb,304,423,481,7,,1215
1971,Mar,254,412,590,6,,1262
1971,Apr,265,486,603,6,,1361
1971,May,265,527,617,6,,1415
1971,Jun,352,618,662,6,,1638
1971,Jul,414,663,688,6,,1772
1971,Aug,409,641,639,6,,1695
1971,Sep,402,661,696,7,,1765
1971,Oct,342,577,623,7,,1549
1971,Nov,270,514,626,7,,1416
1971,Dec,279,480,616,7,,1382
1972,Jan,307,477,589,7,,1380
1972,Feb,290,430,490,7,,1217
1972,Mar,307,476,583,7,,1372
1972,Apr,293,512,608,7,,1420
1972,May,304,586,689,7,,1585
1972,Jun,386,673,670,6,,1736
1972,Jul,458,698,732,6,,1895
1972,Aug,467,713,748,6,,1934
1972,Sep,474,731,738,7,,1950
1972,Oct,366,690,739,7,,1802
1972,Nov,347,642,709,7,,1706
1972,Dec,298,520,661,7,,1488
1973,Jan,338,545,674,8,,1565
1973,Feb,322,517,544,7,,1390
1973,Mar,295,541,665,8,,1509
1973,Apr,326,613,683,7,,1629
1973,May,406,738,792,7,,1944
1973,Jun,461,774,785,7,,2027
1973,Jul,507,794,794,7,,2102
1973,Aug,518,811,824,7,,2160
1973,Sep,486,789,754,7,,2036
1973,Oct,434,760,789,8,,1990
1973,Nov,340,656,728,8,,1731
1973,Dec,327,542,680,8,,1556
1974,Jan,348,507,599,7,,1461
1974,Feb,342,481,565,9,,1398
1974,Mar,314,502,634,7,,1457
1974,Apr,329,565,684,8,,1585
1974,May,370,690,770,7,,1837
1974,Jun,449,722,776,7,,1954
1974,Jul,547,827,831,7,,2212
1974,Aug,568,810,797,8,,2183
1974,Sep,518,779,723,7,,2028
1974,Oct,501,773,707,8,,1988
1974,Nov,401,638,649,8,,1695
1974,Dec,331,551,614,8,,1504
1975,Jan,382,573,610,9,,1574
1975,Feb,374,530,484,9,,1396
1975,Mar,351,526,552,8,,1436
1975,Apr,385,657,731,8,,1782
1975,May,450,778,775,8,,2011
1975,Jun,493,804,765,8,,2070
1975,Jul,585,881,862,8,,2336
1975,Aug,587,862,844,8,,2300
1975,Sep,552,863,838,8,,2262
1975,Oct,544,861,844,9,,2259
1975,Nov,412,705,769,13,,1899
1975,Dec,392,632,769,9,,1801
1976,Jan,449,624,725,9,,1808
1976,Feb,404,607,651,9,,1671
1976,Mar,376,644,809,9,,1839
1976,Apr,406,685,844,9,,1943
1976,May,443,811,919,9,,2181
1976,Jun,573,917,948,9,,2447
1976,Jul,661,999,1013,8,,2681
1976,Aug,620,952,958,9,,2538
1976,Sep,652,987,973,9,,2621
1976,Oct,494,872,935,9,,2311
1976,Nov,449,802,904,10,,2165
1976,Dec,413,707,857,9,,1986
1977,Jan,478,704,822,10,,2014
1977,Feb,452,651,666,10,,1779
1977,Mar,443,718,839,10,,2009
1977,Apr,470,847,927,10,,2254
1977,May,545,991,1013,9,,2559
1977,Jun,675,1074,1032,9,,2790
1977,Jul,788,1127,1080,9,,3004
1977,Aug,791,1160,1100,9,,3060
1977,Sep,742,1135,1050,9,,2937
1977,Oct,627,1073,1017,9,,2726
1977,Nov,484,921,989,10,,2404
1977,Dec,448,836,963,10,,2257
1978,Jan,477,839,938,10,,2264
1978,Feb,486,763,705,10,,1965
1978,Mar,462,794,940,10,,2206
1978,Apr,507,881,950,10,,2348
1978,May,542,1074,1143,10,,2768
1978,Jun,643,1178,1147,9,,2977
1978,Jul,841,1285,1210,9,,3344
1978,Aug,913,1295,1228,9,,3445
1978,Sep,826,1280,1195,10,,3310
1978,Oct,682,1188,1168,9,,3047
1978,Nov,508,1029,1106,10,,2654
1978,Dec,476,927,1051,10,,2465
1979,Jan,507,918,985,11,,2421
1979,Feb,544,970,891,11,,2415
1979,Mar,520,995,1076,10,,2601
1979,Apr,548,1030,1088,10,96,2773
1979,May,578,1145,1210,10,80,3024
1979,Jun,642,1220,1257,8,103,3231
1979,Jul,822,1373,1342,10,116,3662
1979,Aug,893,1385,1354,9,88,3729
1979,Sep,824,1331,1283,9,82,3529
1979,Oct,644,1241,1268,10,107,3271
1979,Nov,527,1134,1217,10,121,3009
1979,Dec,508,1020,1154,11,112,2806
1980,Jan,558,1064,1185,12,120,2939
1980,Feb,564,954,893,12,106,2528
1980,Mar,535,1006,1034,11,101,2688
1980,Apr,560,1168,1260,11,105,3103
1980,May,582,1279,1342,10,72,3285
1980,Jun,738,1418,1315,10,73,3554
1980,Jul,1044,1618,1447,10,92,4211
1980,Aug,983,1556,1425,10,37,4012
1980,Sep,945,1559,1383,11,71,3968
1980,Oct,764,1519,1366,11,110,3770
1980,Nov,608,1302,1253,12,117,3291
1980,Dec,533,1205,1223,12,106,3078
1981,Jan,599,1155,1163,12,115,3044
