表 4.4,,: 按燃料種類劃分的車輛登記及領牌統計數字 (二零二一年三月),,,,,,,,,,,,,,
Table 4.4,,:  Registration and Licensing of Vehicles by Fuel Type (March 2021),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021/03
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 94 356 , 66 668 , - , - ,  69 ,  63 , - ,, - , - , - , 94 425 , 66 731 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,  119 ,  86 , - , - , - , - , - ,, - , - , - ,  119 ,  86 
"機動三輪車
Motor Tricycles",,,,  974 ,  897 , - , - , - , - , - ,, - , - , - ,  974 ,  897 
"私家車
Private Cars",,,, 625 169 , 548 211 , 11 966 , 11 281 , 19 212 , 18 693 , - ,, - ,  106 ,  77 , 656 453 , 578 262 
"的士 (市區)
Taxis (Urban)",,,,  3 ,  3 , - , - , - , - , 15 247 ,, 15 175 , - , - , 15 250 , 15 178 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 814 , - , - , 2 838 , 2 814 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,  75 ,,  75 , - , - ,  75 ,  75 
"九巴
KMB",,,單層  SD, - , - ,  125 ,  125 ,  18 ,  16 , - , - , - , - , - ,  143 ,  141 
,,,雙層  DD, - , - , 3 898 , 3 879 , - , - , - , - , - , - , - , 3 898 , 3 879 
"城巴
Citybus",,,單層  SD, - , - ,  28 ,  28 ,  6 ,  5 , - , - , - , - , - ,  34 ,  33 
,,,雙層  DD, - , - ,  992 ,  930 , - , - , - , - , - , - , - ,  992 ,  930 
"新巴
NWFB",,,單層  SD, - , - ,  13 ,  13 ,  4 ,  4 , - , - , - , - , - ,  17 ,  17 
,,,雙層  DD, - , - ,  673 ,  672 , - , - , - , - , - , - , - ,  673 ,  672 
"龍運
LWB",,,單層  SD, - , - , - , - ,  4 ,  4 , - , - , - , - , - ,  4 ,  4 
,,,雙層  DD, - , - ,  237 ,  235 , - , - , - , - , - , - , - ,  237 ,  235 
"新大嶼山巴士
NLB",,,單層  SD, - , - ,  89 ,  87 ,  2 ,  2 , - , - , - , - , - ,  91 ,  89 
,,,雙層  DD, - , - ,  58 ,  58 , - , - , - , - , - , - , - ,  58 ,  58 
"港鐵巴士 (西鐵線/輕鐵)
MTR Buses (for West Rail Line/Light Rail)",,,單層  SD, - , - ,  11 ,  11 , - , - , - , - , - , - , - ,  11 ,  11 
,,,雙層  DD, - , - ,  137 ,  135 , - , - , - , - , - , - , - ,  137 ,  135 
"其他非專營公共巴士
Other Non-franchised Public Buses",,,單層  SD, - , - , 6 856 , 6 451 ,  6 ,  3 , - , - , - , - , - , 6 862 , 6 454 
,,,雙層  DD, - , - ,  173 ,  162 , - , - , - , - , - , - , - ,  173 ,  162 
"私家巴士
Private Buses",,,單層  SD, - , - ,  742 ,  733 ,  2 ,  1 , - , - , - , - , - ,  744 ,  734 
,,,雙層  DD, - , - ,  25 ,  24 , - , - , - , - , - , - , - ,  25 ,  24 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 4.4,,(續)      ,,,,,,,,,,,,,,
Table 4.4,,(cont'd)      ,,,,,,,,,,,,,,2021/03
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
