,EV,PETROL,DIESEL,period
0,292,494222,2291,201301
1,297,495909,2292,201302
2,297,498394,2296,201303
3,303,499553,2292,201304
4,304,501271,2294,201305
5,308,502944,2293,201306
6,309,504610,2296,201307
7,309,506384,2308,201308
8,309,508394,2350,201309
9,310,510712,2375,201310
10,311,512809,2398,201311
11,317,515041,2606,201312
12,320,516390,2685,201401
13,321,518948,2720,201402
14,323,521018,2779,201403
15,326,522477,2879,201404
16,334,523915,2956,201405
17,340,525753,3067,201406
18,355,527373,3200,201407
19,515,528978,3411,201408
20,614,531252,3622,201409
21,780,533210,3789,201410
22,831,534678,3858,201411
23,1160,536424,4110,201412
24,1329,537873,4316,201501
25,1412,540742,4666,201502
26,1597,542150,4741,201503
27,1730,543112,4886,201504
28,1863,544407,5013,201505
29,2012,546965,5173,201506
30,2090,548324,5241,201507
31,2275,549750,5290,201508
32,2514,551766,5368,201509
33,2869,553921,5431,201510
34,3304,555863,5516,201511
35,3806,558369,5655,201512
36,4076,513423,5710,201601
37,4240,560285,5765,201602
38,4753,561064,5847,201603
39,4899,562053,5929,201604
40,4981,562898,5988,201605
41,5184,563750,6143,201606
42,5481,564396,6294,201607
43,5770,564972,6505,201608
44,6298,566030,6741,201609
45,6459,566827,7046,201610
46,6625,567816,7278,201611
47,6829,568638,7532,201612
48,7025,569159,7773,201701
49,7626,569669,7933,201702
50,10589,570458,8279,201703
51,10588,570858,8644,201704
52,10593,571671,9174,201705
53,10601,572472,9549,201706
54,10603,573048,9917,201707
55,10617,573670,10661,201708
56,10612,574788,11543,201709
57,10618,575662,11622,201710
58,10649,576912,11707,201711
59,10666,577961,11760,201712
60,10674,579233,11834,201801
61,10676,580787,11884,201802
62,10692,582045,11934,201803
63,10725,583374,11989,201804
64,10741,585135,12007,201805
65,10782,586547,12009,201806
66,10800,587724,12008,201807
67,10841,589252,12004,201808
68,10906,590084,12004,201809
69,10940,591548,12001,201810
70,10940,591548,12001,201811
71,10940,591548,12001,201812
72,11130,595684,11995,201901
73,11166,596411,11998,201902
74,11237,597435,11998,201903
75,11276,598297,11998,201904
76,11430,599331,11999,201905
77,11519,600311,11994,201906
78,11622,601161,12000,201907
79,11773,601796,12001,201908
80,12341,601610,11995,201909
81,12650,601669,11993,201910
82,13066,602040,11983,201911
83,13447,602708,11981,201912
84,13554,603008,11977,202001
85,13745,604092,11978,202002
86,14331,605406,11975,202003
87,14507,606732,11975,202004
88,14661,608504,11974,202005
89,14798,609963,11973,202006
90,14895,611485,11973,202007
91,15878,612808,11970,202008
92,16324,615024,11971,202009
93,16417,617320,11971,202010
94,17186,618935,11970,202011
95,17998,621288,11968,202012
96,18212,622923,11968,202101
97,18688,623557,11967,202102
98,19212,625169,11966,202103
99,19815,625724,11962,202104
