,EV,PETROL,DIESEL,period
0,10674,579233,11834,201801
1,10676,580787,11884,201802
2,10692,582045,11934,201803
3,10725,583374,11989,201804
4,10741,585135,12007,201805
5,10782,586547,12009,201806
6,10800,587724,12008,201807
7,10841,589252,12004,201808
8,10906,590084,12004,201809
9,10940,591548,12001,201810
10,10940,591548,12001,201811
11,10940,591548,12001,201812
12,11130,595684,11995,201901
13,11166,596411,11998,201902
14,11237,597435,11998,201903
15,11276,598297,11998,201904
16,11430,599331,11999,201905
17,11519,600311,11994,201906
18,11622,601161,12000,201907
19,11773,601796,12001,201908
20,12341,601610,11995,201909
21,12650,601669,11993,201910
22,13066,602040,11983,201911
23,13447,602708,11981,201912
24,13554,603008,11977,202001
25,13745,604092,11978,202002
26,14331,605406,11975,202003
27,14507,606732,11975,202004
28,14661,608504,11974,202005
29,14798,609963,11973,202006
30,14895,611485,11973,202007
31,15878,612808,11970,202008
32,16324,615024,11971,202009
33,16417,617320,11971,202010
34,17186,618935,11970,202011
35,17998,621288,11968,202012
36,18212,622923,11968,202101
37,18688,623557,11967,202102
38,19212,625169,11966,202103
39,19815,625724,11962,202104
